Date,n,n_miles,avg_miles,Occasion
2019-07-01,1189,2008.5800000000013,1.6893019343986542,Normal Thursday
2019-07-02,1013,1640.93,1.6198716683119447,Normal Thursday
2019-07-03,1184,2055.6299999999997,1.7361739864864865,Normal Thursday
2019-07-04,1833,3800.330000000002,2.073284233496999,Fourth of July
2019-07-05,1330,2533.3200000000015,1.904751879699248,Normal Thursday
2019-07-06,1312,2449.2700000000036,1.8668216463414633,Normal Thursday
2019-07-07,1128,2355.2599999999993,2.087996453900709,Normal Thursday
2019-07-08,1266,2205.239999999999,1.7418957345971564,Normal Thursday
2019-07-09,846,1344.6499999999992,1.589420803782506,Normal Thursday
2019-07-10,1134,1804.2500000000005,1.5910493827160495,Normal Thursday
2019-07-11,1415,2693.200000000002,1.903321554770318,Normal Thursday
2019-07-12,1527,2903.6000000000017,1.9015062213490506,Normal Thursday
2019-07-13,1520,3147.9500000000003,2.0710197368421053,Normal Thursday
2019-07-14,1338,2549.79,1.9056726457399102,Normal Thursday
2019-07-15,1254,2128.550000000001,1.697408293460925,Normal Thursday
2019-07-16,1182,2174.310000000001,1.839517766497462,Normal Thursday
2019-07-17,1204,1981.4700000000014,1.6457392026578073,Normal Thursday
2019-07-18,1399,2389.7699999999963,1.7081987133666905,Normal Thursday
2019-07-19,1451,2699.4900000000025,1.860434183321847,Normal Thursday
2019-07-20,1502,2893.059999999998,1.926138482023968,Normal Thursday
2019-07-21,1166,2412.4500000000007,2.0689965694682675,Normal Thursday
2019-07-22,1315,2279.909999999998,1.733771863117871,Normal Thursday
2019-07-23,1279,2098.1799999999994,1.640484753713839,Normal Thursday
2019-07-24,1388,2290.5099999999998,1.6502233429394813,Normal Thursday
2019-07-25,1398,2207.099999999996,1.578755364806867,Normal Thursday
2019-07-26,1551,2622.8999999999987,1.6911025145067697,Normal Thursday
2019-07-27,1345,2463.760000000001,1.8317918215613385,Normal Thursday
2019-07-28,1260,2667.1000000000004,2.116746031746032,Normal Thursday
2019-07-29,1263,2190.2599999999975,1.734172604908947,Normal Thursday
2019-07-30,1297,2196.140000000003,1.6932459521973786,Normal Thursday
2019-07-31,1324,2318.169999999998,1.7508836858006043,Normal Thursday
